County,Population,Violent Crime Rate Per 100k,Property Crime Rate Per 100k
Sierra County,3210,31.2,965.7
Placer County,395978,150.8,1550.1
El Dorado County,190018,170,1346.7
Marin County,262240,196.8,2075.6
Orange County,3192987,212.9,1853.6
Ventura County,846050,216.3,1493.3
San Luis Obispo County,278355,226.3,1839
San Mateo County,774231,237.3,2101.7
San Benito County,61513,239,767.3
Nevada County,97820,243.3,1217.5
Colusa County,21990,263.8,1578
Yolo County,220896,288.4,3007.8
Amador County,37820,290.9,1771.5
Sutter County,102914,309,2377.7
Riverside County,2422146,310.1,2394
Imperial County,188821,311.9,1840.9
Glenn County,28695,317.1,1833.1
Calaveras County,45085,321.6,1858.7
Monterey County,441304,324.7,1752.8
Santa Clara County,1954833,325.4,2435.3
Santa Barbara County,450839,339.1,1620.8
San Diego County,3340312,341.6,1653.5
Shasta County,177891,350.2,1356.4
Tulare County,476588,355,2229.4
Tuolumne County,54532,357.6,1969.5
Contra Costa County,1150621,359.6,2481.7
Mendocino County,88388,380.1,1419.9
Tehama County,64643,396,2510.7
Del Norte County,27127,401.8,2963.8
Sonoma County,496947,405.7,1360.3
Santa Cruz County,272501,405.9,2570.6
Siskiyou County,44592,405.9,1426.3
Yuba County,77342,421.5,2384.2
Mariposa County,18066,437.3,1007.4
Sacramento County,1541301,438.9,2350.2
Modoc County,9637,446.2,684.9
Trinity County,13637,447.3,1737.9
Butte County,221521,462.3,2402.5
Fresno County,1015195,466.6,2284.8
Humboldt County,133996,467.2,2929.9
Solano County,438832,481.7,2999.1
Kings County,152995,494.8,1611.8
Mono County,13517,495.7,1383.4
Inyo County,18572,506.1,2116.1
Madera County,158216,524.6,1702.1
Stanislaus County,554018,524.9,2576.5
Napa County,139970,538,1544.6
Lake County,64268,539.9,1910.7
Merced County,280735,541.4,2457.1
Los Angeles County,10184378,553.9,2201.3
San Bernardino County,2168964,563.4,2186.1
Alameda County,1664783,584.7,4008.4
Kern County,908405,612.8,3258.9
San Francisco County,891021,683.7,5612.9
Plumas County,18242,701.7,1721.3
San Joaquin County,765556,777.5,2796.5
Lassen County,29173,939.2,1436.3
Alpine County,1149,1131.4,2785