"year","fips","pop2010","pop2024","state","stateCode","growthSince2010","name","ctyname","slug","landArea","density","StatePercentage","StateRank","densityMi","area"
2024,6037,9821647,9539730,"California","CA",-0.028703637994727416,"Los Angeles County","Los Angeles County","los-angeles-county-ca",4058,2350.845243962543,0.2458563780815258,1,2350.845243962543,4058
2024,6073,3103260,3278716,"California","CA",0.056539252270193296,"San Diego County","San Diego County","san-diego-county-ca",4207,779.3477537437604,0.08449853827288067,2,779.3477537437604,4207
2024,6059,3016376,3131542,"California","CA",0.038180253390160956,"Orange County","Orange County","orange-county-ca",791,3958.965865992415,0.08070559375686498,3,3958.965865992415,791
2024,6065,2201562,2515350,"California","CA",0.14252971299468276,"Riverside County","Riverside County","riverside-county-ca",7206,349.06328059950044,0.06482519322951132,4,349.06328059950044,7206
2024,6071,2040803,2195204,"California","CA",0.07565698404010579,"San Bernardino County","San Bernardino County","san-bernardino-county-ca",20057,109.44827242359275,0.05657444231546153,5,109.44827242359275,20057
2024,6085,1786001,1839645,"California","CA",0.030035817449150404,"Santa Clara County","Santa Clara County","santa-clara-county-ca",1290,1426.0813953488373,0.04741103329505013,6,1426.0813953488373,1290
2024,6001,1512997,1599317,"California","CA",0.057052327268328984,"Alameda County","Alameda County","alameda-county-ca",739,2164.1637347767255,0.04121733896286495,7,2164.1637347767255,739
2024,6067,1421381,1576295,"California","CA",0.10898837116860283,"Sacramento County","Sacramento County","sacramento-county-ca",965,1633.4663212435232,0.040624019703704266,8,1633.4663212435232,965
2024,6013,1052516,1144302,"California","CA",0.08720627524902236,"Contra Costa County","Contra Costa County","contra-costa-county-ca",723,1582.713692946058,0.029490766001914744,9,1582.713692946058,723
2024,6019,932011,1019586,"California","CA",0.09396348326360959,"Fresno County","Fresno County","fresno-county-ca",5959,171.10018459473065,0.02627660542831197,10,171.10018459473065,5959
2024,6029,841365,923622,"California","CA",0.09776613003868717,"Kern County","Kern County","kern-county-ca",8132,113.57870142646335,0.023803436746785814,11,113.57870142646335,8132
2024,6111,825144,819099,"California","CA",-0.00732599400831857,"Ventura County","Ventura County","ventura-county-ca",1843,444.4378730330982,0.02110968690206114,12,444.4378730330982,1843
2024,6077,687115,803407,"California","CA",0.1692467781957896,"San Joaquin County","San Joaquin County","san-joaquin-county-ca",1391,577.5751258087706,0.020705275216944756,13,577.5751258087706,1391
2024,6075,805519,802805,"California","CA",-0.0033692563428050493,"San Francisco County","San Francisco County","san-francisco-county-ca",47,17080.957446808512,0.02068976057034521,14,17080.957446808512,47
2024,6081,719948,709423,"California","CA",-0.014619111380266392,"San Mateo County","San Mateo County","san-mateo-county-ca",448,1583.533482142857,0.018283134775064942,15,1583.533482142857,448
2024,6099,515137,548123,"California","CA",0.06403345129548055,"Stanislaus County","Stanislaus County","stanislaus-county-ca",1495,366.6374581939799,0.014126137272562239,16,366.6374581939799,1495
2024,6097,484675,479320,"California","CA",-0.011048640841801238,"Sonoma County","Sonoma County","sonoma-county-ca",1576,304.1370558375635,0.012352957488528181,17,304.1370558375635,1576
2024,6107,442953,478740,"California","CA",0.08079186730872134,"Tulare County","Tulare County","tulare-county-ca",4824,99.2412935323383,0.01233800982236915,18,99.2412935323383,4824
2024,6083,424218,456643,"California","CA",0.07643475760104468,"Santa Barbara County","Santa Barbara County","santa-barbara-county-ca",2735,166.96270566727605,0.011768529513548306,19,166.96270566727605,2735
2024,6095,413963,445541,"California","CA",0.0762821798083404,"Solano County","Solano County","solano-county-ca",822,542.0206812652068,0.011482410565793905,20,542.0206812652068,822
2024,6061,350007,427738,"California","CA",0.22208412974597658,"Placer County","Placer County","placer-county-ca",1407,304.0071073205402,0.011023594530226295,21,304.0071073205402,1407
2024,6053,416358,424076,"California","CA",0.0185369321593436,"Monterey County","Monterey County","monterey-county-ca",3281,129.2520572996038,0.010929218058718762,22,129.2520572996038,3281
2024,6047,256709,301126,"California","CA",0.173024708911647,"Merced County","Merced County","merced-county-ca",1935,155.6206718346253,0.007760570551386417,23,155.6206718346253,1935
2024,6079,269800,287443,"California","CA",0.0653928836174944,"San Luis Obispo County","San Luis Obispo County","san-luis-obispo-county-ca",3301,87.07755225689185,0.007407934489224331,24,87.07755225689185,3301
2024,6087,263174,272120,"California","CA",0.03399271964555761,"Santa Cruz County","Santa Cruz County","santa-cruz-county-ca",445,611.5056179775281,0.007013032612405676,25,611.5056179775281,445
2024,6041,252906,249730,"California","CA",-0.012558025511454796,"Marin County","Marin County","marin-county-ca",520,480.25,0.006436001154990701,26,480.25,520
2024,6113,201061,240267,"California","CA",0.19499554861459956,"Yolo County","Yolo County","yolo-county-ca",1015,236.71625615763546,0.006192122250054662,27,236.71625615763546,1015
2024,6007,219951,209529,"California","CA",-0.04738328082163756,"Butte County","Butte County","butte-county-ca",1636,128.07396088019559,0.005399947487302473,28,128.07396088019559,1636
2024,6017,181161,190758,"California","CA",0.0529749780581914,"El Dorado County","El Dorado County","el-dorado-county-ca",1708,111.68501170960188,0.0049161843123522045,29,111.68501170960188,1708
2024,6089,177277,178828,"California","CA",0.008749019895417876,"Shasta County","Shasta County","shasta-county-ca",3775,47.37165562913907,0.004608726282563877,30,47.37165562913907,3775
2024,6025,174704,177709,"California","CA",0.017200522025826448,"Imperial County","Imperial County","imperial-county-ca",4177,42.54464926981087,0.004579887595612231,31,42.54464926981087,4177
2024,6039,151006,162948,"California","CA",0.07908295034634394,"Madera County","Madera County","madera-county-ca",2137,76.25081890500702,0.004199469491864913,32,76.25081890500702,2137
2024,6031,152342,153585,"California","CA",0.008159273214215279,"Kings County","Kings County","kings-county-ca",1389,110.57235421166307,0.003958167770749397,33,110.57235421166307,1389
2024,6023,135010,135358,"California","CA",0.0025775868454187556,"Humboldt County","Humboldt County","humboldt-county-ca",3568,37.93665919282511,0.0034884244757827708,34,37.93665919282511,3568
2024,6055,136752,130488,"California","CA",-0.045805545805545855,"Napa County","Napa County","napa-county-ca",748,174.44919786096256,0.0033629156237233275,35,174.44919786096256,748
2024,6057,98795,99965,"California","CA",0.011842704590313335,"Nevada County","Nevada County","nevada-county-ca",958,104.34759916492693,0.002576281806185262,36,104.34759916492693,958
2024,6101,94742,97433,"California","CA",0.02840345358974905,"Sutter County","Sutter County","sutter-county-ca",602,161.84883720930233,0.0025110275118496333,37,161.84883720930233,602
2024,6045,87796,87343,"California","CA",-0.005159688368490567,"Mendocino County","Mendocino County","mendocino-county-ca",3506,24.9124358243012,0.0022509896643589187,38,24.9124358243012,3506
2024,6115,72345,86498,"California","CA",0.1956320409150598,"Yuba County","Yuba County","yuba-county-ca",632,136.8639240506329,0.002229212461075504,39,136.8639240506329,632
2024,6069,55544,69387,"California","CA",0.24922583897450679,"San Benito County","San Benito County","san-benito-county-ca",1389,49.95464362850972,0.0017882305375459086,40,49.95464362850972,1389
2024,6033,64736,67405,"California","CA",0.04122899159663862,"Lake County","Lake County","lake-county-ca",1256,53.66640127388535,0.0017371507542231538,41,53.66640127388535,1256
2024,6103,63562,64975,"California","CA",0.022230263364903635,"Tehama County","Tehama County","tehama-county-ca",2950,22.02542372881356,0.0016745251873844585,42,22.02542372881356,2950
2024,6109,55164,53463,"California","CA",-0.03083532738742656,"Tuolumne County","Tuolumne County","tuolumne-county-ca",2221,24.071589374155785,0.0013778397859659146,43,24.071589374155785,2221
2024,6009,45467,47251,"California","CA",0.039237248993775786,"Calaveras County","Calaveras County","calaveras-county-ca",1020,46.32450980392157,0.0012177451270350603,44,46.32450980392157,1020
2024,6093,44941,42928,"California","CA",-0.04479206070180908,"Siskiyou County","Siskiyou County","siskiyou-county-ca",6278,6.837846447913348,0.001106333470473875,45,6.837846447913348,6278
2024,6005,37883,41948,"California","CA",0.107304067787662,"Amador County","Amador County","amador-county-ca",595,70.50084033613446,0.0010810770690327552,46,70.50084033613446,595
2024,6021,28125,27689,"California","CA",-0.015502222222222195,"Glenn County","Glenn County","glenn-county-ca",1314,21.072298325722983,0.0007135964280644597,47,21.072298325722983,1314
2024,6015,28568,26140,"California","CA",-0.08499019882385883,"Del Norte County","Del Norte County","del-norte-county-ca",1006,25.98409542743539,0.000673675850684567,48,25.98409542743539,1006
2024,6035,34828,26086,"California","CA",-0.25100493855518546,"Lassen County","Lassen County","lassen-county-ca",4541,5.744549658665492,0.000672284171421485,49,5.744549658665492,4541
2024,6011,21435,21916,"California","CA",0.02243993468626071,"Colusa County","Colusa County","colusa-county-ca",1151,19.040834057341442,0.0005648156061056989,50,19.040834057341442,1151
2024,6027,18503,18300,"California","CA",-0.010971193860455086,"Inyo County","Inyo County","inyo-county-ca",10181,1.7974658677929476,0.00047162463915560737,51,1.7974658677929476,10181
2024,6063,19915,18173,"California","CA",-0.08747175495857396,"Plumas County","Plumas County","plumas-county-ca",2553,7.118292205248727,0.00046835161570354386,52,7.118292205248727,2553
2024,6043,18302,16846,"California","CA",-0.07955414708775,"Mariposa County","Mariposa County","mariposa-county-ca",1449,11.625948930296756,0.00043415238640521104,53,11.625948930296756,1449
2024,6105,13755,15221,"California","CA",0.10657942566339518,"Trinity County","Trinity County","trinity-county-ca",3179,4.787983642654923,0.0003922731493217213,54,4.787983642654923,3179
2024,6051,14256,12412,"California","CA",-0.12934904601571273,"Mono County","Mono County","mono-county-ca",3049,4.070842899311249,0.00031988005580324585,55,4.070842899311249,3049
2024,6049,9698,8391,"California","CA",-0.13477005568158384,"Modoc County","Modoc County","modoc-county-ca",3915,2.143295019157088,0.00021625149438003833,56,2.143295019157088,3915
2024,6091,3220,3061,"California","CA",-0.04937888198757767,"Sierra County","Sierra County","sierra-county-ca",953,3.21196222455404,0.00007888759674619203,57,3.21196222455404,953
2024,6003,1161,1100,"California","CA",-0.052540913006029255,"Alpine County","Alpine County","alpine-county-ca",738,1.4905149051490514,0.00002834902202574689,58,1.4905149051490514,738